Response,Coverage,Gender,Income,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Vehicle Size,Location Code_Suburban,Location Code_Urban,Marital Status_Married,Marital Status_Single,Policy Type_Personal Auto,Policy Type_Special Auto,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Renew Offer Type_Offer2,Renew Offer Type_Offer3,Renew Offer Type_Offer4,Policy_Corporate L2,Policy_Corporate L3,Policy_Personal L1,Policy_Personal L2,Policy_Personal L3,Policy_Special L1,Policy_Special L2,Policy_Special L3,Sales Channel_Branch,Sales Channel_Call Center,Sales Channel_Web,EmploymentStatus_Employed,EmploymentStatus_Medical Leave,EmploymentStatus_Retired,EmploymentStatus_Unemployed,Vehicle Class_Luxury Car,Vehicle Class_Luxury SUV,Vehicle Class_SUV,Vehicle Class_Sports Car,Vehicle Class_Two-Door Car,Days_Since,Customer Lifetime Value_log,Monthly Premium Auto_log
0,-0.7328994631965141,0,0.612827437138999,1.6780993332571583,-1.5432869497620874,0,1.0,-0.1394890835307884,0.16668205652332244,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.35530388480446656,-1.361950781107551,-0.8419926609278521
0,0.7919988732128163,0,-1.239616841886121,-0.20818639974355926,-0.217334187432938,0,8.0,2.2563898055990097,0.16668205652332244,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6111257627052162,0.23719817025552845,0.24337451487118733
0,2.3168972096221467,0,0.36570977707144425,0.2882045826250506,-0.36068043200906225,0,2.0,0.6166725347262872,0.16668205652332244,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4086001093671227,1.2958710923956838,0.7319647791262632
0,-0.7328994631965141,1,-1.239616841886121,0.2882045826250506,0.6069067188797764,0,7.0,0.4643634469470781,0.16668205652332244,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-0.7283774567430598,0.394598927418543,0.6661456095620306
0,-0.7328994631965141,1,0.20338965161612088,-0.3074645962172813,-0.1456610651448759,0,1.0,-1.166292018462753,0.16668205652332244,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.29134841532927913,-1.3308981794620314,-0.6444899868277124
1,-0.7328994631965141,0,0.8310099136179857,-0.10890820326983729,1.6461669920566773,0,2.0,-1.0778302070703132,0.16668205652332244,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.6750812321804036,0.5271945846249492,-0.8419926609278521
1,-0.7328994631965141,0,0.5824109301585247,-1.498802953901945,-1.256594460609839,0,8.5,-0.40260453976993854,0.16668205652332244,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.35530388480446656,-0.21182725658375642,-0.9450182391698069
0,2.3168972096221467,1,-1.239616841886121,-1.498802953901945,0.7144164023118696,0,4.0,-0.23015411492569413,0.16668205652332244,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.7496959465681223,0.29473687231993995,0.4960589176246241
1,-0.7328994631965141,1,-0.7763905580882483,-0.20818639974355926,-1.6149600720501496,0,2.0,0.3866026312839717,0.16668205652332244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6644219872678724,1.7134462407043902,-0.7418696010843346
0,0.7919988732128163,0,-0.2911748514949678,0.18892638615132865,-1.4716138274740251,0,8.0,0.029993518589240667,0.16668205652332244,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.42991859919218517,0.3354178895736853,0.20576428473796973
0,-0.7328994631965141,1,-1.239616841886121,0.7845955649936606,-1.5432869497620874,0,3.0,0.26672306099730175,-1.6945329853886917,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.38728161954206025,-0.43109762509135835,-0.9450182391698069
0,-0.7328994631965141,0,-1.239616841886121,1.1817083508885484,1.3953110640484598,0,3.0,0.45653238061786255,0.16668205652332244,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6786428717110634,0.5147931990265945,0.7965871699667185
0,2.3168972096221467,1,1.29594794889095,-0.6052991856384472,1.2161282583283046,2,3.0,0.22355699599036605,0.16668205652332244,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6893021166235946,0.6370514107678739,0.7965871699667185
1,-0.7328994631965141,1,2.0471105817777935,0.7845955649936606,-0.8265557268814661,1,8.0,0.45653238061786255,0.16668205652332244,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.9790707510398742,0.6410142636769002,0.7965871699667185
0,-0.7328994631965141,1,1.5152825657858637,0.5860391720462166,-1.3641041440419321,2,8.0,-0.46279768705508634,0.16668205652332244,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.7496959465681223,-0.2106942675998173,-0.7915785733636962
0,-0.7328994631965141,0,-0.42985963927498755,-0.3074645962172813,0.0693583017193105,1,2.0,-1.5626047536631895,0.16668205652332244,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.7603551914806536,0.3528441336358309,-1.1053822934054218
0,-0.7328994631965141,1,-0.41504640535592535,-0.10890820326983729,-1.4716138274740251,0,1.0,0.1495287015103815,0.16668205652332244,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.6893021166235946,-1.4893477232488006,-0.9450182391698069
0,-0.7328994631965141,1,-0.2897593646982574,-0.3074645962172813,0.39188735201559005,0,1.0,0.9537080525083874,0.16668205652332244,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.3482062794225951,-0.7475090820430379,0.4960589176246241
0,-0.7328994631965141,1,0.44408824365208205,-0.6052991856384472,-1.6866331943382116,0,7.0,-0.45512817509677245,0.16668205652332244,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.3233261500668728,-0.10925611530423156,-0.6928462916953714
0,2.3168972096221467,0,0.9375993612400374,-0.4067427926910032,-0.9699019714575904,0,3.0,0.27671302518785773,-1.6945329853886917,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.7923329262182472,0.5074955831471932,0.4960589176246241
0,-0.7328994631965141,1,0.6613819260959249,1.5788211367834364,-0.9699019714575904,0,1.0,-0.2627450411021571,0.16668205652332244,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.4086001093671227,-1.2954684928462754,-0.5967827795020605
0,0.7919988732128163,0,-0.7857064363084586,-0.7045773821121691,0.033521740575279436,0,1.0,-0.1628453991965988,0.16668205652332244,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.7177182118305285,-1.1963684062890463,-0.36740425423611384
1,-0.7328994631965141,1,-0.7763905580882483,-0.20818639974355926,-1.6149600720501496,0,2.0,0.3866026312839717,0.16668205652332244,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6644219872678724,1.7134462407043902,-0.7418696010843346
0,-0.7328994631965141,0,-1.239616841886121,-1.1016901680070572,-0.1456610651448759,3,1.0,0.5663252630481866,0.16668205652332244,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.35530388480446656,-1.569631368063195,-0.6444899868277124
0,-0.7328994631965141,0,-0.6513668638113637,1.4795429403097144,1.538657308624584,0,1.0,0.0869037055672969,0.16668205652332244,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3588655243351263,-1.6110338350438893,-1.2733253582685835
